EWR,-74.2702,40.5935
IAD,-77.5295,39.0837
IAH,-95.567,30.0649
JFK,-73.8804,40.5889
KPSF,-97.629,35.393
MDW,-87.7295,41.6513
MEM,-89.9927,34.8958
MKE,-88.0464,42.8195
MSP,-92.933,44.871
OKC,-97.51,35.276
ORD,-87.8583,41.7972
PHL,-75.0702,39.9493
PHX,-112.163,33.421
STL,-90.4891,38.8054
UNKN,0,0
KPIX,-122.10222,38.39833
KURN,151.23,-34.017
RCWF,121.772,25.073
RCHL,121.62,23.99
RCKT,120.855,21.901
RCCG,120.069,23.148
RWCA,121.295,24.694
WBI,-80.5328,45.7928
WGJ,-84.5958,47.2478
WHK,-114.1447,53.5606
WHN,-109.9553,54.9133
WKR,-79.5714,43.9639
WMB,-70.6673,48.5754
WSO,-81.3803,43.3703
WTP,-53.1264,47.3266
WUJ,-122.4878,49.0161
WVY,-71.9153,46.45
WWW,-119.2342,55.6925
XAM,-67.6011,48.4803
XBE,-105.1828,50.5711
XBU,-110.1956,50.3125
XDR,-92.7972,49.8583
XFT,-76.1136,45.0408
XFW,-101.0856,50.5492
XGO,-63.7033,45.0989
XLA,-77.8097,48.5508
XMB,-60.2061,45.9483
XME,-57.8344,48.9305
XNC,-65.6986,46.2222
XNI,-89.1214,48.8536
XPG,-122.9547,53.6153
XRA,-107.4436,52.5206
XSI,-123.7558,48.8603
XSM,-113.3981,51.2064
XSS,-119.065,50.37027778
XTI,-81.7939,49.28
XWL,-97.7783,50.1539
MPAR,-97.461944,35.235833
MDS,80.288,13.073
UNKN,0,0
KCYR,-98.251,34.874
KLWE,-98.272,34.624
KSAO,-97.957,35.031
KRSP,-97.931,34.813
9516,117.15,34.29
9539,118.35,35.05
9558,115.74,32.88
9396,114.02,32.98
9371,113.69,34.78
9398,111.13,34.68
